,Address,Latitude,Longitude,Country,Country_Code,Followers,Following,Stars,Contributions,Url_profile,Similarity,Weight
0,"Dublin, Ireland",53.3497645,-6.2602732,Éire / Ireland,ie,0.004842615012106538,0.013468013468013467,0.002,0.00010949304719150334,https://github.com/nahog,0.40410947,0.0029591215680992555
1,Israel,31.5313113,34.8667654,ישראל,il,0.009685230024213076,0.0,0.037,0.00722654111463922,https://github.com/OrDuan,0.16889332,0.015927662450698304
2,Uppsala,59.8586126,17.6387436,Sverige,se,0.09079903147699758,0.04377104377104377,0.0625,0.02715427570349283,https://github.com/abergs,0.16757971,0.05214862095390103
3,delhi india,28.6517178,77.2219388,India,in,0.0012106537530266344,0.0,0.0035,0.00043797218876601336,https://github.com/sumitrathore1313,0.12583845,0.0014673196261117323
4,127.0.0.1,53.548124,8.6194486,Deutschland,de,0.035108958837772396,1.0,1.0,0.04861491295302748,https://github.com/Sphinxs,0.12304004,0.4264677569487655
5,127.0.0.1,53.548124,8.6194486,Deutschland,de,0.035108958837772396,1.0,1.0,0.04861491295302748,https://github.com/Sphinxs,0.12304004,0.4264677569487655
6,"Austin, TX",30.2711286,-97.7436995,United States,us,0.013317191283292978,0.030303030303030304,0.0065,0.0,https://github.com/nirav99,0.10992684,0.007643741286961627
7,"Pune,INDIA",18.521428,73.8544541,India,in,0.006053268765133172,0.006734006734006734,0.003,0.08759443775320268,https://github.com/Uttam580,0.09001791,0.03782182952770838
8,New York,40.7127281,-74.0060152,United States,us,0.0036319612590799033,0.0,0.0,0.00032847914157451,https://github.com/niharikagulati,0.08324814,0.0008577839084457847
9,"Canada, Edmonton,AB",53.535411,-113.507996,Canada,ca,0.0012106537530266344,0.020202020202020204,0.0075,0.00098543742472353,https://github.com/khatabi-abderrahim,0.08293543,0.00490650774069676
10,VIT Vellore,12.97229435,79.16075427896692,India,in,0.012106537530266344,0.016835016835016835,0.096,0.011496769955107851,https://github.com/Rushanksavant,0.07761173,0.03750351717159809
11,Knoxville,35.9603948,-83.9210261,United States,us,0.012106537530266344,0.02356902356902357,0.071,0.02430745647651374,https://github.com/AroSwift,0.07619055,0.035801192453561115
12,"San Jose, CA",37.3361905,-121.890583,United States,us,0.007263922518159807,0.0,0.0095,0.00065695828314902,https://github.com/jerisalan,0.07493751,0.0045655678168915696
13,"San Jose, CA",37.3361905,-121.890583,United States,us,0.007263922518159807,0.0,0.0095,0.00065695828314902,https://github.com/jerisalan,0.07493751,0.0045655678168915696
14,"Cuttack , Odisha , India",20.4686,85.8792,India,in,0.015738498789346248,0.03367003367003367,0.004,0.003503777510128107,https://github.com/DevSurya,0.07395513,0.00911621412892386
15,glasgow,55.8609825,-4.2488787,United Kingdom,gb,0.012106537530266344,0.05387205387205387,0.0055,0.0065695828314902005,https://github.com/csainsbury,0.07246744,0.012086346025854736
16,San Francisco Bay Area,37.7884969,-122.3558473,United States,us,0.0036319612590799033,0.0,0.0005,0.0,https://github.com/jonneff,0.07146316,0.0008763922518159806
17,"Ohio, United States",40.2253569,-82.6881395,United States,us,0.0012106537530266344,0.003367003367003367,0.0005,0.00098543742472353,https://github.com/ethan-lefeb,0.06982371,0.0011230060571950757
18,"Ohio, United States",40.2253569,-82.6881395,United States,us,0.0012106537530266344,0.003367003367003367,0.0005,0.00098543742472353,https://github.com/ethan-lefeb,0.06982371,0.0011230060571950757
19,"Pune, India",18.521428,73.8544541,India,in,0.035108958837772396,0.12457912457912458,0.2185,0.01697142231468302,https://github.com/nirajpandkar,0.06906752,0.09181827315134014
20,"Tehran, Iran ",35.6892523,51.3896004,ایران,ir,0.10411622276029056,0.9528619528619529,0.0925,0.03689915690353662,https://github.com/AminTaheri23,0.06695265,0.15861910259966808
21,"Milan,Italy",45.4668,9.1905,Italia,it,0.01694915254237288,0.013468013468013467,0.014,0.010401839483192817,https://github.com/eddieir,0.0656572,0.01309736764855305
22,Bangalore,12.9791198,77.5912997,India,in,0.018159806295399514,0.04377104377104377,0.0135,0.015219533559618964,https://github.com/shreyavshetty,0.06177307,0.018146879060031866
23,"New Delhi, India",28.6138954,77.2090057,India,in,0.018159806295399514,0.0,0.031,0.07325084857111573,https://github.com/shubhamgoel90,0.0572316,0.042232300687526196
24,India,22.3511148,78.6677428,India,in,0.0,0.0,0.003,0.0021898609438300667,https://github.com/erdivyang10,0.05295668,0.0017759443775320267
25,Italy,42.6384261,12.674297,Italia,it,0.13196125907990314,0.026936026936026935,0.005,0.08354319500711704,https://github.com/andreagrandi,0.05014056,0.06400313251243014
26,"Pune, India",18.521428,73.8544541,India,in,0.004842615012106538,0.08080808080808081,0.029,0.010401839483192817,https://github.com/Aditya-Mankar,0.04236208,0.021910066876506516
27,Boston,42.3602534,-71.0582912,United States,us,0.1016949152542373,0.050505050505050504,0.0245,0.029672615788897405,https://github.com/SayantanMitra87,0.03981528,0.044608534416911476
28,Berlin,52.5170365,13.3888599,Deutschland,de,0.002421307506053269,0.0,0.0,0.0005474652359575167,https://github.com/macabeigier,0.03978005,0.0007032475955936605
29,"Hyderabad, India",17.38878595,78.46106473453146,India,in,0.01694915254237288,0.08417508417508418,0.0115,0.008540457680937261,https://github.com/KriAga,0.03868501,0.018673521998357902
30,"Dhaka, Bangladesh",23.810651,90.4126466,বাংলাদেশ,bd,0.01694915254237288,0.1447811447811448,0.014,0.003503777510128107,https://github.com/razuswe,0.03731808,0.0234694559906403
31,"Berlin, Germany",52.5170365,13.3888599,Deutschland,de,0.015738498789346248,0.04713804713804714,0.197,0.065257856126136,https://github.com/jcpsantiago,0.03669682,0.09306464692212837
32,Texas,31.8160381,-99.5120986,United States,us,0.004842615012106538,0.0,0.0035,0.004160735793277127,https://github.com/disojn,0.03596433,0.003682817319732158
33,between Brittany and South Korea,,,United States,us,0.1198547215496368,0.13131313131313133,0.209,0.023759991240556225,https://github.com/foxmask,0.03567068,0.10930625393746299
34,London,51.5073219,-0.1276474,United Kingdom,gb,0.16464891041162227,0.18181818181818182,0.019,1.0,https://github.com/pikesley,0.03178978,0.4568116002641427
35,"Salt Lake City, UT",40.7596198,-111.8867975,United States,us,0.0,0.003367003367003367,0.0,0.0,https://github.com/chelseamlap,0.02770377,0.0003367003367003367
36,"Chennai,Tamil Nadu,India",13.0836939,80.270186,India,in,0.03753026634382567,0.09764309764309764,0.0115,0.0025183400854045766,https://github.com/SridharCR,0.02611752,0.021727699067236733
37,Italy,42.6384261,12.674297,Italia,it,0.002421307506053269,0.016835016835016835,0.001,0.0689806197306471,https://github.com/gui-dos,0.02390677,0.03006001107697118
38,Kochi,9.931308,76.2674136,India,in,0.01937046004842615,0.11447811447811448,0.049,0.008649950728128764,https://github.com/PatrickPrakash,0.02367215,0.033481883748748185
39,The Netherlands,52.5001698,5.7480821,Nederland,nl,0.039951573849878935,0.006734006734006734,0.001,0.02923464360013139,https://github.com/svanas,0.02365271,0.020657572883429016
40,Boston,42.3602534,-71.0582912,United States,us,0.020581113801452784,0.0,0.003,0.0032847914157451003,https://github.com/jxx123,0.01788977,0.006330139326588597
41,"London, Ontario",42.9836747,-81.2496068,Canada,ca,0.014527845036319613,0.037037037037037035,0.1085,0.005912624548341181,https://github.com/thedamon,0.01760398,0.041524322530304095
42,"Türkheim, Germany",48.0601151,10.6394156,Deutschland,de,0.01937046004842615,0.016835016835016835,0.0085,0.08595204204533012,https://github.com/Faltenreich,0.01714569,0.042488410511318964
43,San Francisco,37.7790262,-122.4199061,United States,us,0.29539951573849876,0.21212121212121213,0.323,0.009963867294426804,https://github.com/bewest,0.01517437,0.18117757127759168
44,"Wales, UK",52.2928116,-3.73893,United Kingdom,gb,1.0,0.006734006734006734,0.0285,0.2765794372057374,https://github.com/tomwhite,0.01480021,0.31985517555569565
45,istanbul,41.0096334,28.9651646,Türkiye,tr,0.009685230024213076,0.030303030303030304,0.0125,0.005365159312383664,https://github.com/malionde,0.01337605,0.010863412760099111
46,"Berlin, Germany / Hennigsdorf, Germany",,,Türkiye,tr,0.0012106537530266344,0.003367003367003367,0.0015,0.0,https://github.com/boRp,0.01108345,0.0010288310873056636
47,"Syracuse, New York, US",43.0481221,-76.1474244,United States,us,0.006053268765133172,0.003367003367003367,0.0035,0.008978429869703274,https://github.com/Laxman-Kumar,0.0105017,0.006188726037608281
48,Planet Earth,41.1018669,-81.1515962,United States,us,0.004842615012106538,0.0,0.0,0.00394174969889412,https://github.com/rohit43,0.00966487,0.0025452228819789558
49,San Francisco,37.7790262,-122.4199061,United States,us,0.29539951573849876,0.21212121212121213,0.323,0.009963867294426804,https://github.com/bewest,0.0045205,0.18117757127759168
